NumeroVol,Origine,Destination,ClasseReservation,Net,Taxe
KL2058,AMS,EWR,F,16380.00,210.22
KL2058,AMS,EWR,F,22932.00,197.52
KL2058,AMS,EWR,F,22932.00,210.22
KL2058,AMS,EWR,H,1500.00,197.52
KL2058,AMS,EWR,H,1500.00,210.22
KL2058,AMS,EWR,H,1550.00,210.22
KL2058,AMS,EWR,H,1635.00,197.52
KL2058,AMS,EWR,H,1635.00,210.22
KL2058,AMS,EWR,H,1685.00,210.22
KL2058,AMS,EWR,H,1700.00,210.22
KL2058,AMS,EWR,H,1755.00,197.52
KL2058,AMS,EWR,H,1755.00,210.22
KL2058,AMS,EWR,H,1805.00,210.22
KL2058,AMS,EWR,H,1835.00,210.22
KL2058,AMS,EWR,H,1845.00,197.52
KL2058,AMS,EWR,H,1845.00,210.22
KL2058,AMS,EWR,H,1895.00,210.22
KL2058,AMS,EWR,H,1955.00,210.22
KL2058,AMS,EWR,H,2045.00,210.22
KL2058,AMS,EWR,H,2235.00,197.52
KL2058,AMS,EWR,H,2235.00,210.22
KL2058,AMS,EWR,H,2285.00,210.22
KL2058,AMS,EWR,H,2355.00,197.52
KL2058,AMS,EWR,H,2355.00,210.22
KL2058,AMS,EWR,H,2405.00,210.22
KL2058,AMS,EWR,H,2435.00,210.22
KL2058,AMS,EWR,H,2445.00,197.52
KL2058,AMS,EWR,H,2445.00,210.22
KL2058,AMS,EWR,H,2495.00,210.22
KL2058,AMS,EWR,H,2555.00,210.22
KL2058,AMS,EWR,H,2645.00,210.22
KL2058,AMS,EWR,I,1720.00,197.52
KL2058,AMS,EWR,I,1720.00,210.22
KL2058,AMS,EWR,I,1920.00,197.52
KL2058,AMS,EWR,I,1920.00,210.22
KL2058,AMS,EWR,I,2180.00,197.52
KL2058,AMS,EWR,I,2180.00,210.22
KL2058,AMS,EWR,I,2380.00,197.52
KL2058,AMS,EWR,I,2380.00,210.22
KL2058,AMS,EWR,I,2430.00,197.52
KL2058,AMS,EWR,I,2430.00,210.22
KL2058,AMS,EWR,I,2630.00,197.52
KL2058,AMS,EWR,I,2630.00,210.22
KL2058,AMS,EWR,I,2680.00,197.52
KL2058,AMS,EWR,I,2680.00,210.22
KL2058,AMS,EWR,I,2880.00,197.52
KL2058,AMS,EWR,I,2880.00,210.22
KL2058,AMS,EWR,I,2930.00,197.52
KL2058,AMS,EWR,I,2930.00,210.22
KL2058,AMS,EWR,I,3130.00,197.52
KL2058,AMS,EWR,I,3130.00,210.22
KL2058,AMS,EWR,I,3180.00,197.52
KL2058,AMS,EWR,I,3180.00,210.22
KL2058,AMS,EWR,I,3380.00,197.52
KL2058,AMS,EWR,I,3380.00,210.22
KL2058,AMS,EWR,I,3430.00,197.52
KL2058,AMS,EWR,I,3430.00,210.22
KL2058,AMS,EWR,I,3630.00,197.52
KL2058,AMS,EWR,I,3630.00,210.22
KL2058,AMS,EWR,J,12680.00,197.52
KL2058,AMS,EWR,J,12680.00,210.22
KL2058,AMS,EWR,J,17752.00,197.52
KL2058,AMS,EWR,J,17752.00,210.22
KL2058,AMS,EWR,K,1175.00,197.52
KL2058,AMS,EWR,K,1175.00,210.22
KL2058,AMS,EWR,K,1225.00,210.22
KL2058,AMS,EWR,K,1310.00,197.52
KL2058,AMS,EWR,K,1310.00,210.22
KL2058,AMS,EWR,K,1360.00,210.22
KL2058,AMS,EWR,K,1375.00,210.22
KL2058,AMS,EWR,K,1430.00,197.52
KL2058,AMS,EWR,K,1430.00,210.22
KL2058,AMS,EWR,K,1480.00,210.22
KL2058,AMS,EWR,K,1510.00,210.22
KL2058,AMS,EWR,K,1520.00,197.52
KL2058,AMS,EWR,K,1520.00,210.22
KL2058,AMS,EWR,K,1570.00,210.22
KL2058,AMS,EWR,K,1630.00,210.22
KL2058,AMS,EWR,K,1720.00,210.22
KL2058,AMS,EWR,K,1910.00,197.52
KL2058,AMS,EWR,K,1910.00,210.22
KL2058,AMS,EWR,K,1960.00,210.22
KL2058,AMS,EWR,K,2030.00,197.52
KL2058,AMS,EWR,K,2030.00,210.22
KL2058,AMS,EWR,K,2080.00,210.22
KL2058,AMS,EWR,K,2110.00,210.22
KL2058,AMS,EWR,K,2120.00,197.52
KL2058,AMS,EWR,K,2120.00,210.22
KL2058,AMS,EWR,K,2170.00,210.22
KL2058,AMS,EWR,K,2230.00,210.22
KL2058,AMS,EWR,K,2320.00,210.22
KL2058,AMS,EWR,L,760.00,197.52
KL2058,AMS,EWR,L,760.00,210.22
KL2058,AMS,EWR,L,810.00,210.22
KL2058,AMS,EWR,L,895.00,197.52
KL2058,AMS,EWR,L,895.00,210.22
KL2058,AMS,EWR,L,945.00,210.22
KL2058,AMS,EWR,L,960.00,210.22
KL2058,AMS,EWR,L,1015.00,197.52
KL2058,AMS,EWR,L,1015.00,210.22
KL2058,AMS,EWR,L,1065.00,210.22
KL2058,AMS,EWR,L,1095.00,210.22
KL2058,AMS,EWR,L,1105.00,197.52
KL2058,AMS,EWR,L,1105.00,210.22
KL2058,AMS,EWR,L,1155.00,210.22
KL2058,AMS,EWR,L,1215.00,210.22
KL2058,AMS,EWR,L,1295.00,197.52
KL2058,AMS,EWR,L,1295.00,210.22
KL2058,AMS,EWR,L,1305.00,210.22
KL2058,AMS,EWR,L,1345.00,210.22
KL2058,AMS,EWR,L,1415.00,197.52
